Trip.Miles	Fare	Date	Trip.Min	Trip.ID	Hour	Time
4.5	15.5	01/04(Wed.)	18.0	a6c9102739aee616390794338096b442a50c7f8e	9	Morning
0.1	5.0	01/06(Fri.)	6.0	e57bf6a316346b26e766d99cbb19edab7578da23	8	Morning
2.4	9.5	01/01(Sun.)	10.0	65fd07361f2f31ca2b2faacbd03afadba1e3a1c1	2	Night
0.5	4.5	01/03(Tue.)	3.0	79400ca58e4fab7a346a0acb42a45501fa4da999	11	Morning
1.2	6.5	01/01(Sun.)	5.0	b4e198a6b38615c53f1a8f0908eaada319a35918	13	Afternoon
1.1	8.0	01/06(Fri.)	11.0	7af7cf2703a329dc8e496cbd8e3871b79eef0ddc	17	Afternoon
1.3	8.75	01/06(Fri.)	12.0	55df30360f955e154be469144296869d8cab4283	18	Evening
0.7	5.0	01/04(Wed.)	3.0	749e7c406adb53c2650e4db93a34cea1544101c5	20	Evening
17.2	44.0	01/02(Mon.)	28.0	05ae2bcba0d2cb4869655b8c0b24b59363047686	12	Afternoon
1.7	8.5	01/05(Thu.)	10.0	e628afca882f84dce5abbe508b9707ace0eade6d	19	Evening
0.6	4.5	01/05(Thu.)	3.0	bb16711a76b0d9e107cf8587f1bf50c7719917d5	11	Morning
0.0	8.75	01/04(Wed.)	8.0	ab2129c720056799be138561dc167025e1139c99	7	Morning
1.3	6.75	01/06(Fri.)	5.0	1c4fff393754619808dca54eba9b530dac25eae5	20	Evening
1.6	8.0	01/04(Wed.)	9.0	618888e711dc6c4e3ac21da63fa080d59a806216	18	Evening
0.8	5.25	01/01(Sun.)	4.0	9907143e1d402650f1634816a4d93479419bafd4	21	Evening
0.0	6.0	01/06(Fri.)	4.0	7d73e4905307a8c8bc752d8ce737de2b42a9cdad	23	Evening
7.0	20.25	01/07(Sat.)	15.0	cd2d763c8b4b7264f79feface2bc5c7ef9f7ffc9	7	Morning
4.4	13.75	01/01(Sun.)	11.0	5d4a86a0dfc459ce7cf87ee17d18f97a8c235b66	10	Morning
0.66	5.0	01/04(Wed.)	2.78333333333	d84003bf580659f39e816f8fff5666c9c87fc925	13	Afternoon
0.7	6.0	01/05(Thu.)	7.0	f670a744696ff5b46b3f8877c6f319eac8807655	18	Evening
1.7	8.75	01/01(Sun.)	11.0	3f98772f41d8a7e5c9e7b18732a45daacabdaa24	13	Afternoon
0.2	14.75	01/07(Sat.)	14.0	809f868a6df98403156196ad039cb17eb5c320e4	19	Evening
1.1	6.75	01/06(Fri.)	8.0	bb704671006494604ddbdbbfe5d9a10c319b58c4	17	Afternoon
0.1	8.75	01/04(Wed.)	9.0	7ebefb39b8ac4e156552bebce91c013ad28d9cb5	14	Afternoon
0.0	10.25	01/02(Mon.)	0.0	a2f644d21dfd4bf7e203896deb069f546e0e9a4d	4	Night
0.0	5.75	01/06(Fri.)	4.0	dc528179908dd5fd3ff7a0e7dd04d4f7f7ace74f	13	Afternoon
