state,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
Hawaii,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,2.0,10.0,11.0,11.0,8.0,21.0,13.0,5.0,11.0,14.0,31.0,24.0,29.0,20.0
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,2.0,12.0,8.0,11.0,5.0,3.0,23.0,50.0,66.0,43.0,30.0,48.0,105.0,111.0
Illinois,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,8.0,6.0,7.0,14.0,20.0,28.0,10.0,55.0,127.0,134.0,163.0,168.0,296.0,238.0,250.0,339.0,664.0,491.0,518.0,1068.0,455.0,922.0
Indiana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,5.0,1.0,0.0,3.0,4.0,5.0,6.0,9.0,17.0,25.0,47.0,76.0,60.0,107.0,113.0,177.0,331.0,247.0,283.0,275.0,380.0
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,4.0,0.0,7.0,9.0,6.0,1.0,23.0,22.0,15.0,19.0,23.0,32.0,57.0,62.0,38.0,88.0,74.0
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,6.0,5.0,13.0,14.0,8.0,9.0,16.0,20.0,32.0,39.0,40.0,59.0,61.0,41.0,61.0
Kentucky,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,7.0,3.0,1.0,4.0,9.0,12.0,16.0,21.0,19.0,21.0,33.0,41.0,50.0,54.0,92.0,45.0,41.0,110.0
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,1.0,22.0,41.0,26.0,34.0,59.0,84.0,112.0,145.0,226.0,74.0,335.0,216.0,407.0,510.0,441.0,569.0,224.0,485.0,1213.0
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,5.0,15.0,11.0,9.0,5.0,13.0,19.0,18.0,11.0,24.0,13.0,13.0,43.0,42.0,22.0,28.0
Maryland,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,5.0,9.0,5.0,7.0,18.0,28.0,23.0,42.0,45.0,50.0,45.0,59.0,74.0,158.0,209.0,276.0,178.0,171.0,247.0
Massachusetts,0.0,1.0,0.0,0.0,1.0,5.0,5.0,15.0,13.0,51.0,3.0,13.0,15.0,15.0,26.0,33.0,21.0,38.0,72.0,85.0,112.0,121.0,131.0,382.0,679.0,579.0,823.0,1017.0,698.0,797.0,868.0
Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,13.0,8.0,20.0,1.0,11.0,15.0,254.0,214.0,239.0,246.0,291.0,467.0,502.0,584.0,778.0,979.0,852.0,1022.0,1121.0
Minnesota,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,5.0,7.0,14.0,19.0,6.0,17.0,12.0,26.0,23.0,33.0,64.0,29.0,25.0,57.0,52.0,44.0,62.0,72.0,53.0
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,2.0,9.0,13.0,16.0,30.0,60.0,67.0,42.0,71.0,56.0,110.0,93.0,90.0,90.0,89.0,89.0
Missouri,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,7.0,5.0,14.0,38.0,20.0,37.0,53.0,72.0,129.0,124.0,162.0,167.0,65.0,147.0,301.0
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,7.0,0.0,10.0,5.0,11.0,6.0,14.0,25.0,31.0,26.0,14.0,16.0,21.0
Nebraska,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0,3.0,2.0,2.0,2.0,3.0,7.0,4.0,6.0,8.0,1.0,11.0,4.0,7.0,7.0,11.0,20.0,16.0,47.0,14.0
Nevada,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,8.0,2.0,5.0,19.0,10.0,27.0,17.0,66.0,0.0,25.0,75.0,50.0,90.0,130.0,86.0,117.0,182.0,124.0,69.0
New Hampshire,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,4.0,9.0,13.0,5.0,11.0,10.0,13.0,23.0,7.0,29.0,21.0,29.0,27.0,44.0,56.0,53.0
New Jersey,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,4.0,8.0,6.0,21.0,25.0,23.0,78.0,92.0,159.0,308.0,161.0,440.0,578.0,930.0,831.0,727.0,2474.0,1949.0,2299.0,2262.0,3250.0,2060.0
New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,7.0,8.0,14.0,8.0,18.0,17.0,13.0,23.0,55.0,19.0,27.0,45.0,33.0
New York,1.0,0.0,1.0,9.0,11.0,22.0,45.0,17.0,36.0,31.0,44.0,109.0,95.0,189.0,122.0,218.0,425.0,1012.0,1774.0,2952.0,3258.0,4817.0,5711.0,4805.0,7413.0,5941.0,5688.0,8771.0,6266.0,7721.0,8707.0
North Carolina,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,8.0,2.0,7.0,7.0,2.0,8.0,24.0,38.0,40.0,40.0,85.0,33.0,95.0,165.0,77.0,145.0,188.0,194.0,137.0,224.0
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,12.0,8.0,1.0,2.0,2.0,5.0,8.0,13.0,10.0,25.0,4.0,12.0,17.0
Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,8.0,13.0,11.0,13.0,17.0,23.0,30.0,49.0,78.0,104.0,93.0,120.0,143.0,160.0,277.0,262.0,259.0,268.0,266.0
Oklahoma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,8.0,11.0,15.0,5.0,4.0,14.0,14.0,25.0,58.0,84.0,74.0,55.0,52.0,52.0,85.0
Oregon,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,6.0,10.0,0.0,6.0,3.0,7.0,20.0,8.0,13.0,27.0,23.0,24.0,30.0,18.0,57.0,50.0,99.0,65.0,69.0,58.0,83.0
Pennsylvania,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,19.0,6.0,21.0,13.0,20.0,38.0,48.0,82.0,119.0,116.0,140.0,207.0,300.0,539.0,527.0,598.0,626.0,715.0,841.0
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,7.0,2.0,8.0,8.0,12.0,13.0,15.0,21.0,27.0,47.0,65.0
Rhode Island,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,1.0,2.0,10.0,11.0,0.0,22.0,17.0,23.0,18.0,8.0,33.0,38.0,36.0,55.0,114.0,80.0
South Carolina,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,6.0,9.0,5.0,14.0,13.0,21.0,45.0,46.0,22.0,105.0,43.0,83.0,31.0,86.0,119.0,114.0,150.0,158.0
South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,7.0,7.0,2.0,11.0,5.0,12.0,10.0,22.0,10.0,7.0
Tennessee,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,10.0,8.0,6.0,7.0,13.0,21.0,25.0,57.0,82.0,75.0,112.0,98.0,156.0,128.0,175.0,199.0,183.0,206.0,152.0,328.0
Texas,0.0,0.0,0.0,1.0,4.0,3.0,0.0,4.0,1.0,7.0,2.0,8.0,17.0,11.0,11.0,7.0,19.0,60.0,82.0,138.0,161.0,92.0,89.0,129.0,275.0,410.0,429.0,410.0,341.0,343.0,523.0
Utah,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,14.0,8.0,11.0,11.0,14.0,15.0,32.0,26.0,44.0,75.0,42.0,47.0,56.0,78.0,128.0,111.0,87.0,81.0
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,2.0,5.0,3.0,7.0,20.0,3.0,23.0,20.0,28.0,35.0,26.0,27.0,24.0,21.0,37.0
Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,0.0
Virginia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,7.0,13.0,12.0,3.0,6.0,16.0,11.0,16.0,21.0,37.0,67.0,35.0,37.0,99.0,213.0,2.0,134.0,150.0,131.0,229.0
Washington,7.0,6.0,9.0,15.0,28.0,11.0,24.0,31.0,38.0,100.0,59.0,81.0,92.0,98.0,66.0,119.0,114.0,118.0,202.0,176.0,251.0,189.0,257.0,368.0,116.0,623.0,562.0,541.0,586.0,283.0,113.0
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,0.0,23.0,12.0,25.0,20.0,17.0,11.0,21.0,17.0
Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,11.0,8.0,6.0,14.0,25.0,34.0,49.0,61.0,65.0,101.0,36.0,63.0,142.0,131.0,176.0,112.0,78.0,149.0,82.0
Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,5.0,2.0,1.0,4.0,2.0,2.0,2.0,9.0,12.0,7.0,18.0,11.0,3.0,8.0,25.0
